repo_name	question_number	is_answered_number	total_view	max_view	total_answer	max_answer
immutable-js	30	0	14930	12130	38	0
flux	30	0	11395	7979	37	0
wdt	13	0	5524	1575	8	0
osquery	0	0	0.0	0	0.0	0
jsx	30	0	280997	137090	70	0
fatal	30	0	776868	264475	91	0
flow	30	0	24437	18214	25	0
react-native	30	0	2382	861	24	0
stetho	21	0	6256	2019	18	0
zstd	0	0	0.0	0	0.0	0
infer	30	0	3806	2408	31	0
fixed-data-table	25	0	11542	2580	18	0
ThreatExchange	0	0	0.0	0	0.0	0
shimmer-android	1	0	34	34	1	0
nuclide	28	0	6877	1115	14	0
fresco	30	0	70622	64261	43	0
componentkit	8	0	989	389	6	0
PathPicker	1	0	72	72	1	0
graphql	30	0	1301	283	27	0
react-native-fbsdk	16	0	2980	1077	14	0
relay	30	0	3112	1858	24	0
screenshot-tests-for-android	1	0	67	67	1	0
reason	30	0	86241	58595	42	0
draft-js	13	0	3732	1173	15	0
redex	20	0	5078	1590	23	0
FBNotifications	0	0	0.0	0	0.0	0
facebook-sdk-swift	8	0	1503	875	5	0
React.NET	8	0	1963	887	9	0
react-tutorial	28	0	17510	6628	39	0
react-modal	13	0	13785	9924	19	0
redux	30	0	11408	9632	26	0
react-redux	30	0	2233	663	44	0
react-router-redux	30	0	5990	2818	31	0
bootstrap	30	0	201602	150361	83	0
bootstrap-sass	30	0	16323	5787	31	0
ratchet	30	0	8354	4883	25	0
bootstrap-expo	0	0	0.0	0	0.0	0
no-carrier	6	0	10918	5641	6	0
bootstrap-rubygem	0	0	0.0	0	0.0	0
sensei	5	0	143	51	2	0
inject	30	0	1344	325	21	0
datafu	4	0	608	243	5	0
cleo	3	0	1986	1298	1	0
indextank-engine	0	0	0.0	0	0.0	0
dustjs	30	0	6073	1518	35	0
venus.js	0	0	0.0	0	0.0	0
archetype	30	0	127512	37275	46	0
rest.li	3	0	949	679	4	0
ambry	0	0	0.0	0	0.0	0
pinot	0	0	0.0	0	0.0	0
Cubert	1	0	189	189	2	0
gobblin	10	0	875	204	4	0
simoorg	0	0	0.0	0	0.0	0
WhereHows	1	0	49	49	0	0
LayoutTest-iOS	0	0	0.0	0	0.0	0
ConsistencyManager-iOS	0	0	0.0	0	0.0	0
LayoutKit	0	0	0.0	0	0.0	0
pygradle	0	0	0.0	0	0.0	0
RocketData	0	0	0.0	0	0.0	0
aws-sdk-android-samples	0	0	0.0	0	0.0	0
route53-infima	0	0	0.0	0	0.0	0
cfncluster	7	0	315	67	6	0
ecs-mesos-scheduler-driver	0	0	0.0	0	0.0	0
simplebeerservice	0	0	0.0	0	0.0	0
aws-config-rules	0	0	0.0	0	0.0	0
aws-sdk-java	9	0	9771	8644	7	0
aws-toolkit-eclipse	0	0	0.0	0	0.0	0
aws-sdk-ruby	14	0	6396	1098	18	0
aws-sdk-net	2	0	1793	1562	3	0
aws-sdk-js	7	0	4157	2171	8	0
aws-sdk-php	30	0	11387	5397	25	0
aws-sdk-php-laravel	3	0	436	231	4	0
aws-sdk-core-ruby	0	0	0.0	0	0.0	0
aws-sdk-ios	9	0	2558	1117	10	0
aws-sdk-android	1	0	538	538	1	0
amazon-ecs-agent	1	0	308	308	1	0
aws-sdk-go	8	0	5534	2899	7	0
aws-week-in-review	0	0	0.0	0	0.0	0
angle	30	0	185409	116020	49	0
microsoft.github.io	0	0	0.0	0	0.0	0
TypeScript	30	0	69388	35535	53	0
Win2D	30	0	4849	677	31	0
Docker.DotNet	0	0	0.0	0	0.0	0
dotnet	30	0	2027	453	20	0
referencesource	3	0	273	187	5	0
vsts-tasks	1	0	86	86	2	0
dotnet-apiport	0	0	0.0	0	0.0	0
llvm	30	0	10886	6424	30	0
cordova-samples	0	0	0.0	0	0.0	0
PTVS	30	0	9112	3946	27	0
perfview	18	0	6052	1691	10	0
nodejstools	2	0	125	111	1	0
DirectXMesh	0	0	0.0	0	0.0	0
DirectXTex	4	0	1810	1147	5	0
DirectXTK	15	0	2854	916	14	0
UVAtlas	0	0	0.0	0	0.0	0
cordova-docs	0	0	0.0	0	0.0	0
FX11	0	0	0.0	0	0.0	0
DXUT	6	0	13047	8037	9	0
maker.js	0	0	0.0	0	0.0	0
react-native-code-push	3	0	156	115	2	0
PowerBI-visuals-core	0	0	0.0	0	0.0	0
VSSDK-Extensibility-Samples	0	0	0.0	0	0.0	0
cordova-plugin-code-push	0	0	0.0	0	0.0	0
vscode-docs	0	0	0.0	0	0.0	0
vscode	30	0	134546	133568	44	0
multiverso	1	0	11	11	0	0
lightLDA	0	0	0.0	0	0.0	0
clrmd	14	0	3854	1340	14	0
VisualStudioUninstaller	0	0	0.0	0	0.0	0
code-push	30	0	6881	4229	18	0
vscode-go	2	0	712	672	1	0
pict	11	0	3867	1003	14	0
ProjectOxford-ClientSDK	0	0	0.0	0	0.0	0
HealthClinic.biz	0	0	0.0	0	0.0	0
mattercenter	0	0	0.0	0	0.0	0
DMTK	2	0	30	19	1	0
VS-PPT	0	0	0.0	0	0.0	0
pxt	0	0	0.0	0	0.0	0
ace	30	0	8749	2051	25	0
checkedc	0	0	0.0	0	0.0	0
BotBuilder	5	0	492	216	5	0
malmo	1	0	41	41	1	0
DirectXMath	13	0	13983	6839	16	0
monaco-editor	6	0	677	300	5	0
yelp-api	30	0	9111	5425	22	0
mrjob	30	0	3664	627	25	0
dataset-examples	0	0	0.0	0	0.0	0
yelp.github.io	0	0	0.0	0	0.0	0
osxcollector	0	0	0.0	0	0.0	0
elastalert	30	0	4845	763	17	0
dumb-init	2	0	319	275	1	0
clay	11	0	4522	1715	14	0
ringpop-node	0	0	0.0	0	0.0	0
phabricator-jenkins-plugin	1	0	90	90	0	0
ringpop-go	0	0	0.0	0	0.0	0
tchannel-go	0	0	0.0	0	0.0	0
rides-android-sdk	1	0	69	69	1	0
rides-ios-sdk	0	0	0.0	0	0.0	0
luma.gl	0	0	0.0	0	0.0	0
react-vis	0	0	0.0	0	0.0	0
backpack	23	0	37064	21509	29	0
infinity	30	0	40011	28676	48	0
polyglot.js	0	0	0.0	0	0.0	0
airpal	5	0	555	297	4	0
AirMapView	1	0	54	54	0	0
aerosolve	0	0	0.0	0	0.0	0
DeepLinkDispatch	2	0	96	65	1	0
enzyme	30	0	1655	702	29	0
react-dates	0	0	0.0	0	0.0	0
cups	30	0	11679	3445	13	0
swift	30	0	356991	206341	55	0
swift-evolution	0	0	0.0	0	0.0	0
swift-corelibs-foundation	0	0	0.0	0	0.0	0
swift-corelibs-libdispatch	0	0	0.0	0	0.0	0
swift-corelibs-xctest	0	0	0.0	0	0.0	0
cassandra	30	0	24705	15056	33	0
pdfbox	30	0	77967	40205	34	0
libcloud	30	0	5126	1617	31	0
isis	27	0	8221	2532	29	0
incubator-predictionio	0	0	0.0	0	0.0	0
tez	30	0	7647	4159	23	0
tinkerpop	30	0	3350	594	30	0
tensorflow	30	0	1713	817	24	0
serving	30	0	75079	24041	44	0
playground	30	0	53674	25003	43	0
djangosnippets.org	1	0	478	478	1	0
djangoproject.com	0	0	0.0	0	0.0	0
django-dev-dashboard	0	0	0.0	0	0.0	0
django	30	0	33460	11678	47	0
django-localflavor	7	0	4774	2883	7	0
django-formtools	4	0	440	281	3	0
channels	30	0	1453	260	20	0
docker	30	0	68172	67431	23	0
compose	30	0	38486	18240	37	0
libcontainer	12	0	7437	2119	11	0
kitematic	27	0	5713	1310	22	0
machine	30	0	23269	9095	19	0
docker-bench-security	0	0	0.0	0	0.0	0
libcompose	0	0	0.0	0	0.0	0
notary	4	0	186	88	5	0
toolbox	30	0	79596	49078	45	0
containerd	3	0	308	159	1	0
dockercloud-haproxy	1	0	19	19	0	0
readable-stream	30	0	46699	16806	44	0
node	30	0	3539	1556	35	0
iojs.org	0	0	0.0	0	0.0	0
docker-node	10	0	3158	949	14	0
nodejs-ko	0	0	0.0	0	0.0	0
nodejs-zh-CN	0	0	0.0	0	0.0	0
node-convergence-archive	0	0	0.0	0	0.0	0
nodejs.org	5	0	3729	1885	8	0
npm	30	0	80824	47877	42	0
npm-registry-couchapp	0	0	0.0	0	0.0	0
npm-registry-client	2	0	2394	2259	9	0
npm-expansions	0	0	0.0	0	0.0	0
marky-markdown	0	0	0.0	0	0.0	0
caffe	30	0	712	77	15	0
sqoop	30	0	3377	1112	38	0
flume	30	0	18511	8357	24	0
hue	30	0	22015	12023	41	0
RecordBreaker	0	0	0.0	0	0.0	0
crunch	30	0	49449	39335	32	0
Impala	30	0	6635	4560	23	0
cdk	13	0	18227	7943	12	0
kudu	30	0	3167	738	23	0
ibis	4	0	194	115	1	0
livy	13	0	2568	1095	6	0
spark-training	1	0	165	165	1	0
spark-avro	17	0	7971	1979	18	0
spark-csv	30	0	24916	9023	40	0
node-oracledb	16	0	6534	4154	20	0
oraclejet	5	0	199	73	5	0
mysql-server	30	0	926259	546678	138	0
d3	30	0	2008	641	20	0
d3-queue	4	0	243	150	2	0
d3-plugins	1	0	320	320	1	0
d3.github.com	0	0	0.0	0	0.0	0
openaddresses	0	0	0.0	0	0.0	0
starter-kit	30	0	8403	2572	35	0
ember.js	30	0	42043	17963	55	0
ember-rails	30	0	6037	2178	26	0
ember-collection	5	0	1302	524	4	0
source-sdk-2013	1	0	210	210	1	0
openvr	5	0	416	155	4	0
ansible	30	0	28704	23789	33	0
tower-cli	1	0	15	15	1	0
gddo	0	0	0.0	0	0.0	0
appengine	30	0	2395	447	31	0
oauth2	30	0	3292	1372	18	0
go	30	0	25313	12987	39	0
tools	30	0	74181	42161	55	0
blog	30	0	4948	1902	34	0
crypto	30	0	16683	14403	27	0
exp	30	0	19379	11762	46	0
image	30	0	55152	22499	42	0
mobile	30	0	109551	54468	34	0
net	30	0	7650	3862	23	0
sys	30	0	360112	230872	69	0
talks	30	0	18598	8021	34	0
text	30	0	196090	155793	55	0
ruby	30	0	7560	4742	34	0
rake	30	0	102762	39414	52	0
legacy-svn-scala	0	0	0.0	0	0.0	0
scala.github.com	0	0	0.0	0	0.0	0
scala	30	0	23147	15382	40	0
pickling	30	0	16028	7677	36	0
rails	30	0	11109	9720	36	0
acts_as_list	30	0	27566	6029	31	0
acts_as_tree	30	0	18387	4088	34	0
auto_complete	21	0	14541	3368	25	0
exception_notification	20	0	18181	3478	31	0
in_place_editing	3	0	1559	1205	3	0
open_id_authentication	10	0	11382	3899	15	0
ssl_requirement	10	0	21688	13686	11	0
country_select	30	0	19987	3112	48	0
thrift_client	2	0	904	768	2	0
twurl	5	0	431	201	4	0
snowflake	30	0	8126	1468	34	0
scala_school	0	0	0.0	0	0.0	0
finagle	30	0	5361	1352	27	0
twitter.github.com	0	0	0.0	0	0.0	0
commons	30	0	113721	68097	36	0
util	30	0	149507	123388	33	0
scrooge	14	0	9229	3589	16	0
hogan.js	30	0	51835	17523	44	0
mysql	30	0	220543	173254	37	0
scalding	30	0	2293	557	23	0
cassie	2	0	353	231	3	0
effectivescala	0	0	0.0	0	0.0	0
finatra	20	0	2286	399	16	0
cassovary	1	0	114	114	1	0
ospriet	0	0	0.0	0	0.0	0
recess	30	0	10774	1917	35	0
ambrose	0	0	0.0	0	0.0	0
iago	0	0	0.0	0	0.0	0
twemcache	1	0	236	236	1	0
algebird	2	0	109	60	1	0
hdfs-du	0	0	0.0	0	0.0	0
clockworkraven	0	0	0.0	0	0.0	0
summingbird	0	0	0.0	0	0.0	0
chill	15	0	5423	1525	19	0
typeahead.js	30	0	42980	21218	39	0
twitter-server	3	0	4023	2050	7	0
interactive	30	0	29881	18589	41	0
hraven	0	0	0.0	0	0.0	0
hpack	2	0	520	292	1	0
wordpress	30	0	5807	2696	35	0
twemoji	5	0	1249	511	4	0
mysos	0	0	0.0	0	0.0	0
twitter-kit-android	1	0	386	386	1	0
digits-android	8	0	2188	573	12	0
labella.js	1	0	107	107	0	0
diffy	3	0	1014	597	3	0
heron	10	0	4295	2307	10	0
distributedlog	2	0	24	14	1	0
curator	30	0	8759	4333	29	0
aws-autoscaling	30	0	12446	4416	42	0
asgard	6	0	689	419	6	0
genie	30	0	5241	3788	36	0
falcor	30	0	18292	14988	35	0
vector	30	0	470324	466285	65	0
falcor-router-demo	0	0	0.0	0	0.0	0
mongo-java-driver	30	0	7109	1216	27	0
mongo-python-driver	0	0	0.0	0	0.0	0
mongo	30	0	5172	3776	23	0
mongo-ruby-driver	17	0	13225	4072	17	0
mongo-php-driver-legacy	0	0	0.0	0	0.0	0
mongo-perl-driver	0	0	0.0	0	0.0	0
mongoid	30	0	37974	10843	40	0
node-mongodb-native	30	0	54846	34140	38	0
cookbook	30	0	25616	11073	56	0
mongo-csharp-driver	3	0	2679	1547	5	0
casbah	30	0	6276	1528	30	0
docs	30	0	63584	57139	24	0
mongo-php-driver	10	0	16026	6606	15	0
mongo-php-library	2	0	335	242	4	0
mongo-spark	3	0	250	144	2	0
hub	30	0	53962	29360	34	0
dmca	4	0	626	409	4	0
hubot	30	0	10180	5119	31	0
game-off-2012	0	0	0.0	0	0.0	0
choosealicense.com	0	0	0.0	0	0.0	0
pages-gem	5	0	890	364	5	0
git-lfs	30	0	2381	371	18	0
government.github.com	0	0	0.0	0	0.0	0
training-kit	16	0	7107	1112	21	0
fetch	30	0	3317	1549	31	0
VisualStudio	30	0	55421	44480	37	0
sizzle	30	0	30673	14851	42	0
testswarm	10	0	4539	3335	13	0
jquery	30	0	1364000	1193398	91	0
qunit	30	0	781	186	19	0
jquery-ui	30	0	88508	27947	57	0
jquery-mobile	30	0	144806	53299	55	0
learn.jquery.com	0	0	0.0	0	0.0	0
themeroller.jquerymobile.com	0	0	0.0	0	0.0	0
esprima	19	0	12872	4243	16	0
api.jquery.com	3	0	2162	1853	7	0
PEP	30	0	64909	33192	77	0
css-chassis	0	0	0.0	0	0.0	0
asyncload	2	0	553	515	2	0
tamper	30	0	12485	5202	31	0
druid	30	0	1757	329	18	0
fastjson	17	0	16872	10098	19	0
taokeeper	0	0	0.0	0	0.0	0
tengine	0	0	0.0	0	0.0	0
dubbo	0	0	0.0	0	0.0	0
tfs	30	0	39221	23904	36	0
nginx-tfs	0	0	0.0	0	0.0	0
node-hbase-client	0	0	0.0	0	0.0	0
cobarclient	0	0	0.0	0	0.0	0
wasp	11	0	4338	1578	9	0
mdrill	0	0	0.0	0	0.0	0
jstorm	4	0	331	160	2	0
transmittable-thread-local	0	0	0.0	0	0.0	0
dubbo-doc-static	0	0	0.0	0	0.0	0
anyproxy	0	0	0.0	0	0.0	0
RocketMQ	1	0	7	7	0	0
java-dns-cache-manipulator	0	0	0.0	0	0.0	0
f2etest	0	0	0.0	0	0.0	0
weex	1	0	2041	2041	4	0
macaca	0	0	0.0	0	0.0	0
BeeHive	6	0	3999	2212	18	0
uirecorder	1	0	179	179	1	0
retrofit	30	0	30145	17572	40	0
zapp	3	0	608	492	4	0
cube	30	0	15376	5683	34	0
square.github.io	0	0	0.0	0	0.0	0
crossfilter	30	0	5332	2677	26	0
cubism	30	0	16191	4504	30	0
otto	30	0	44014	22547	46	0
pollexor	0	0	0.0	0	0.0	0
okhttp	30	0	42387	24994	46	0
dagger	30	0	9456	2816	28	0
tape	30	0	7908	4682	42	0
assertj-android	1	0	201	201	1	0
spoon	30	0	2531	609	37	0
protoparser	0	0	0.0	0	0.0	0
mimecraft	1	0	97	97	0	0
picasso	30	0	129253	64783	63	0
okio	18	0	25494	7343	20	0
moshi	23	0	2797	1245	14	0
intro-to-d3	0	0	0.0	0	0.0	0
go-jose	0	0	0.0	0	0.0	0
sqlbrite	13	0	3029	979	12	0
keywhiz	0	0	0.0	0	0.0	0
keywhiz-fs	0	0	0.0	0	0.0	0
git-fastclone	0	0	0.0	0	0.0	0
zamboni	1	0	492	492	1	0
kitsune	0	0	0.0	0	0.0	0
popcorn-js	7	0	4084	2135	6	0
addon-sdk	30	0	12351	3430	36	0
openwebapps	0	0	0.0	0	0.0	0
skywriter	1	0	211	211	1	0
jschannel	0	0	0.0	0	0.0	0
chromeless	30	0	47629	9905	44	0
rainbow	30	0	22342	8273	51	0
task.js	2	0	2284	2197	4	0
prospector	1	0	326	326	1	0
playdoh	0	0	0.0	0	0.0	0
kuma	1	0	13	13	1	0
pontoon	1	0	657	657	2	0
persona	30	0	19364	3224	27	0
bedrock	12	0	1731	694	8	0
openbadges-backpack	0	0	0.0	0	0.0	0
Addon-Tests	1	0	56	56	0	0
rhino	30	0	24556	5990	31	0
elasticutils	5	0	1944	1426	5	0
dxr	1	0	429	429	1	0
mozillians	0	0	0.0	0	0.0	0
lightbeam	1	0	132	132	1	0
butter	30	0	66137	17064	52	0
source-map	30	0	16885	10783	18	0
django-badger	0	0	0.0	0	0.0	0
browserid-crypto	0	0	0.0	0	0.0	0
socorro	2	0	363	325	0	0
rr	30	0	57813	37910	39	0
BrowserQuest	8	0	9073	5156	5	0
mozilla-central	2	0	84	57	1	0
mortar	30	0	16883	2670	28	0
nunjucks	30	0	10734	3801	26	0
r2d2b2g	0	0	0.0	0	0.0	0
togetherjs	15	0	4817	1552	8	0
fireplace	11	0	5192	1524	12	0
thimble.mozilla.org	0	0	0.0	0	0.0	0
ichnaea	0	0	0.0	0	0.0	0
popcorn.webmaker.org	0	0	0.0	0	0.0	0
fxa-auth-server	0	0	0.0	0	0.0	0
MozStumbler	0	0	0.0	0	0.0	0
vtt.js	0	0	0.0	0	0.0	0
mig	23	0	29750	6873	21	0
Fira	3	0	281	221	3	0
gecko-dev	0	0	0.0	0	0.0	0
openbadges-badgekit	0	0	0.0	0	0.0	0
addons-server	0	0	0.0	0	0.0	0
crontabber	0	0	0.0	0	0.0	0
metrics-graphics	1	0	22	22	0	0
node-firefox	0	0	0.0	0	0.0	0
webmaker-android	0	0	0.0	0	0.0	0
seasponge	0	0	0.0	0	0.0	0
server-side-tls	1	0	12	12	0	0
serviceworker-cookbook	0	0	0.0	0	0.0	0
platform-status	1	0	548	548	1	0
http-observatory	0	0	0.0	0	0.0	0
fathom	11	0	1282	510	18	0
tofino	0	0	0.0	0	0.0	0
spidernode	0	0	0.0	0	0.0	0
html5-boilerplate	30	0	255861	93230	52	0
html5boilerplate.com	0	0	0.0	0	0.0	0
lazyweb-requests	0	0	0.0	0	0.0	0
mobile-boilerplate	6	0	3422	1501	4	0
html5please	0	0	0.0	0	0.0	0
movethewebforward	0	0	0.0	0	0.0	0
Front-end-Developer-Interview-Questions	1	0	70874	70874	5	0
mothereffinganimatedgif	0	0	0.0	0	0.0	0
generator-h5bp	0	0	0.0	0	0.0	0
generator-server-configs	0	0	0.0	0	0.0	0
Effeckt.css	2	0	1571	1543	2	0
yos-social-objc	0	0	0.0	0	0.0	0
boomerang	22	0	15004	4297	21	0
oozie	30	0	16236	12571	27	0
omid	0	0	0.0	0	0.0	0
pure-site	0	0	0.0	0	0.0	0
pure	30	0	112456	81598	72	0
samoa	2	0	195	120	2	0
intl-messageformat	1	0	83	83	0	0
handlebars-intl	0	0	0.0	0	0.0	0
formatjs-site	0	0	0.0	0	0.0	0
flux-examples	0	0	0.0	0	0.0	0
gifshot	7	0	730	404	3	0
blink-diff	0	0	0.0	0	0.0	0
kobold	4	0	2838	2414	3	0
fluxible	30	0	10785	3230	28	0
end-to-end	30	0	46168	34198	35	0
squidb	2	0	175	137	0	0
babel-plugin-react-intl	3	0	379	297	3	0
elide	30	0	8944	1137	50	0
anthelion	0	0	0.0	0	0.0	0
AppDevKit	0	0	0.0	0	0.0	0
grunt	30	0	58804	51577	15	0
grunt-contrib	30	0	48962	25383	42	0
gruntjs.com	0	0	0.0	0	0.0	0
grunt-contrib-clean	7	0	9135	4769	7	0
grunt-contrib-less	28	0	58388	19467	34	0
grunt-contrib-cssmin	19	0	18784	4623	24	0
grunt-contrib-stylus	2	0	5215	4275	7	0
grunt-contrib-compress	6	0	7209	3431	7	0
grunt-contrib-coffee	11	0	9638	4132	17	0
grunt-contrib-pug	0	0	0.0	0	0.0	0
grunt-contrib-copy	30	0	40431	13514	29	0
grunt-contrib-requirejs	21	0	23488	7752	24	0
grunt-contrib-handlebars	7	0	4690	3046	9	0
grunt-contrib-jst	4	0	2953	1918	1	0
grunt-contrib-sass	30	0	35386	7497	42	0
grunt-contrib-compass	24	0	32346	7236	22	0
grunt-contrib-watch	30	0	26851	10853	29	0
grunt-contrib-jshint	12	0	18449	9298	16	0
grunt-contrib-concat	21	0	11061	2731	18	0
grunt-contrib-uglify	21	0	47973	25383	24	0
grunt-init	24	0	22335	5739	29	0
grunt-contrib-connect	30	0	14705	4352	24	0
grunt-contrib-imagemin	22	0	50907	15074	42	0
grunt-contrib-htmlmin	5	0	3975	1754	8	0
grunt-contrib-livereload	1	0	34688	34688	4	0
grunt-contrib-jasmine	25	0	23816	5301	25	0
grunt-cli	29	0	47502	14176	40	0
grunt-contrib-csslint	1	0	2464	2464	4	0
paperclip	30	0	44101	14935	44	0
squirrel	30	0	48434	22583	29	0
shoulda	30	0	15603	3378	36	0
factory_girl	30	0	33582	13862	46	0
hoptoad_notifier	0	0	0.0	0	0.0	0
clearance	30	0	5215	1712	33	0
limerick_rake	0	0	0.0	0	0.0	0
sortable_table	1	0	283	283	1	0
paul_revere	0	0	0.0	0	0.0	0
high_voltage	11	0	3847	848	16	0
suspenders	3	0	1304	627	4	0
factory_girl_rails	27	0	40476	8444	50	0
appraisal	1	0	181	181	2	0
shoulda-matchers	30	0	14958	7312	36	0
dotfiles	30	0	26518	10647	51	0
capybara-webkit	30	0	85707	26383	62	0
